代码,
董先生,吼啊|没有说要钦定
支持,当然啦|无可奉告
钦,没有说要钦定|感觉你们还要靴习一个
连任,不要见的风是的雨
见的风,一派胡言|江主席一来天气晴朗
是的雨,一派胡言|江主席一来天气晴朗
一派胡言,我感到十分气愤
angry,感觉你们还要靴习一个
快,没宝华姐快
跑,没宝华姐快
西方,还要靴习一个|too young|too simple|sometimes naive
记者,还要靴习一个|too young|too simple|sometimes naive
媒体,还要靴习一个|too young|too simple|sometimes naive
宝华,forever young|是坠吼的
基本法,是坠吼的
选举法,是坠吼的
诗,苟利国家生死以|岂因祸福避趋之
苟,岂因祸福避趋之
祸福,然后我就到了上海|姿势水平很高
天气,江主席一来天气晴朗
雨,江主席一来天气晴朗
young,来比赛爬山啊比赛拔河
simple,stay simple
naive,毕竟还要学习一个
江泽民,不要直接叫ta名字好不好
薄熙来,不要直接叫ta名字好不好
1s,吼啊|forever young